i,x_i,y_i,U_i,X_i,ln(X_i/x_t),ln(x_i/x_t)
1,1.312344664322244,5.068509039354147,0.016439192859065477,1.006652355582866,0.006630326309204571,0.27181535748703445
2,1.3995443462678532,4.31552204614163,0.02102864980357122,1.0085373979729042,0.008501160493945122,0.3361467166938163
3,2.4409756648115613,1.0742154035822336,0.07584082446376639,1.0320513067970614,0.03154838171220251,0.892397822009044
4,2.784645606173944,0.7728143380343051,0.09392871611441811,1.0402436020854464,0.03945491849953566,1.0241206143571864
5,4.013420837895813,0.3098940565125589,0.15860109673135858,1.0715173890679837,0.0690757645146809,1.3896439544372852
6,4.02018287162523,0.3085925788521621,0.15895699324343315,1.071698735751862,0.06924499307003838,1.3913273920503078
7,4.45804357214942,0.2383083324895764,0.18200229327102213,1.083675277195001,0.08035829835725065,1.4947100088390666
8,4.870785566698073,0.1909864137726025,0.20372555614200383,1.0954054290022872,0.0911245495376808,1.5832552314160697
9,4.920993677786656,0.18615211817639368,0.20636808830456088,1.0968629095776352,0.09245420500406006,1.5935104771414301
10,5.027907875928587,0.17641346116150747,0.21199515136466252,1.0999892581308617,0.09530041442106336,1.6150039683502402
11,5.082707388988605,0.17169681131084102,0.21487933626255817,1.1016038292405026,0.09676714449789196,1.6258440702109727
12,5.257195914185241,0.15780276033469604,0.2240629428518548,1.1068006426899826,0.10147354960446463,1.6595977884408368
13,5.830513206679944,0.12182405227233976,0.25423753719368125,1.1245008604266558,0.11733925758070737,1.763105025078154
14,5.877085982342596,0.11942490065180092,0.2566887359127682,1.1259826907709294,0.11865615728222914,1.7710610578353165
15,6.108990619873465,0.10841174983688665,0.268894243151235,1.1334644893937955,0.1252788621939784,1.8097615582062228
16,6.9947752299011885,0.0772797291715231,0.3155144857842731,1.163735533761392,0.15163511882201056,1.945163474634935
17,7.49811595652928,0.06495605173108113,0.34200610297522527,1.1822552569494682,0.16742384909526792,2.014651783188708
18,8.377389782875547,0.04922981379600633,0.38828367278292353,1.2172505265068885,0.19659464861858625,2.1255363842163786
19,9.330695852556337,0.03760234389597881,0.4384576764503335,1.2596416209777037,0.23082725271065635,2.2333095943456938
20,9.986270008147388,0.031731583062728455,0.47296157937617833,1.292001713341777,0.25619273147545724,2.3012111503817545
21,10.034628455940645,0.03135066503578747,0.47550676083898136,1.2945059240442678,0.2581290965174604,2.306041956743797
22,10.136747346299181,0.03056704419603149,0.48088143927890425,1.2998504150276775,0.26224919248363926,2.3161671721771757
23,10.416000336559645,0.028559298576720876,0.49557896508208654,1.3148697209015612,0.27373758916406876,2.343343117778007
24,10.887163318202001,0.025568965399285545,0.5203770167474737,1.3416523805473075,0.2939019741064523,2.387584417999165
25,11.17323662723804,0.023963624683181188,0.535433506696739,1.3588791863427063,0.30666023227885586,2.4135213318281896
26,11.410831327863715,0.022735619143576732,0.5479384909401955,1.373792015180747,0.3175748105670008,2.434563020804754
27,11.543238792764612,0.022089241340974806,0.554907304882348,1.3823557181262482,0.3237890859491654,2.4460998796547506
28,12.148552609638095,0.019439659475705896,0.5867659268230576,1.42403790792905,0.35349643337215086,2.4972100359116416
29,12.515886499667815,0.01804454600280678,0.6060992894562007,1.4515944341387383,0.3726625620553644,2.5269987573465187
30,12.799491910569861,0.017061537871106282,0.6210258900299926,1.4741992412148293,0.38811495506313004,2.5494054756509947
31,12.885993202432758,0.016776650424419885,0.6255785896017241,1.4813433426462608,0.3929493400483679,2.556140923200617
32,13.497161171655776,0.014941490233168904,0.6577453248239882,1.5355368540024543,0.42888006191481903,2.602479379750638
33,13.519430612217128,0.014880036522316547,0.6589174006430067,1.5376453328635298,0.4302522416709822,2.6041279552469967
34,13.926901551639064,0.013815408663391189,0.6803632395599507,1.5781101454002353,0.4562280206215943,2.633822333161003
35,14.366362126808394,0.012783005527662806,0.7034927435162313,1.6262446073154226,0.4862734348147434,2.664889510546969
36,14.835950462988109,0.011795369867464885,0.7282079191046373,1.6838572863186807,0.52108716538728,2.6970533206481995
37,15.359920319869198,0.010815026627398482,0.7557852799931157,1.7574835350276785,0.5638829762534953,2.7317615401975552
38,15.414155174201518,0.010720145582161895,0.7586397460106062,1.7657682286649665,0.5685858527223699,2.735286254400076
39,16.565039457219285,0.008954035528441347,0.8192126030115413,1.9821327592868705,0.6841734161503772,2.8072944177121544
40,17.128367422145143,0.008235881207204747,0.848861443270797,2.1293639230912498,0.7558233074665258,2.8407360026071102
41,17.14049185540548,0.008221324678703942,0.8494995713371304,2.1329707762367724,0.7575157386155972,2.8414436091059456
42,17.28287295718799,0.008053045560221694,0.8569933135362101,2.1769951546097364,0.7779455565309332,2.849716008652925
43,17.301057308948216,0.008031901766235352,0.8579503846814851,2.1828504127251165,0.7806315515026416,2.8507676157603936
44,17.898279133749995,0.00737856330736034,0.8893831123026312,2.4125227975713353,0.8806730039568568,2.8847045704458467
45,18.025132909329,0.007249429166346334,0.8960596268067894,2.473354067534499,0.9055751515762431,2.891767056754313
46,18.11333291680126,0.0071615013241820655,0.9007017324632242,2.518971949999523,0.9238508619371061,2.8966482923342096
47,18.536307084934023,0.006759926296602431,0.9229635307860012,2.788184137703153,1.0253905372392365,2.919731353940084
48,19.085601165932413,0.006283988618714398,0.9518737455753902,3.365481246916004,1.2135709682991926,2.9489341850949886
49,19.56590507649493,0.005905411214292664,0.9771528987628909,4.533854279575296,1.511572412083916,2.9737885145717122
50,19.934784031284668,0.005636002311413951,0.9965675805939299,9.67742603159951,2.269795960102766,2.992466147129521
